Year,Total_Passing_Attempts,Total_Rushing_Attempts,Passing_Touchdowns,Rushing_Touchdowns,Passing_First_Downs,Rushing_First_Downs,Super_Bowl_Champion,SBC_Total_Passing_Attempts,SBC_Total_Passing_TD,SBC_Total_Passing_Yards,SBC_Total_Rushing_Attempts,SBC_Total_Rushing_TD,SBC_Total_Rushing_Yards,Offense_Ranking
2019,17853,13387,797,447,6200,3451,Kansas City Chiefs,576,30,4498,375,16,1569,5
2018,17671,13272,847,439,6276,3206,New England Patriots,574,29,4258,478,18,2037,4
2017,17448,13755,741,380,5921,3420,Philadelphia Eagles,564,38,3737,473,9,2115,3
2016,18295,13321,786,443,6368,3038,New England Patriots,550,32,4308,482,19,1872,3
2015,18298,13488,842,365,6289,2973,Denver Broncos,606,19,3970,411,13,1718,19
2014,17879,13688,807,380,6288,2965,New England Patriots,609,34,4121,438,13,1727,4
2013,18136,13871,804,410,6210,3059,Seattle Seahawks,420,27,3236,509,14,2188,9
2012,17788,13925,757,401,6141,3101,Baltimore Ravens,560,22,3739,444,17,1901,10
2011,17410,13971,745,400,5991,3095,New York Giants,589,19,4734,411,17,1427,9
2010,17269,13920,751,399,5864,3080,Green Bay Packers,541,31,4124,421,11,1606,10
2009,17033,14088,710,429,5746,3030,New Orleans Saints,544,34,4355,468,21,2106,1
2008,16526,14119,646,476,5533,3250,Pittsburgh Steelers,506,19,3301,460,16,1690,20
2007,17045,13986,720,386,5813,3059,New York Giants,544,23,3154,469,15,2148,14
2006,16389,14447,648,424,5454,3195,Indianapolis Colts,557,31,4308,439,17,1762,3
2005,16464,14375,644,431,5445,3081,Pittsburgh Steelers,379,21,2926,549,21,2223,9
2004,16354,14428,732,416,5524,3198,New England Patriots,485,29,3588,524,15,2134,11
2003,16493,14508,654,427,5304,3252,New England Patriots,537,23,3432,473,9,1607,12
2002,17292,14102,694,460,5630,3264,Tampa Bay Buccaneers,567,23,3445,414,6,1557,18
2001,16181,13666,635,365,5273,2959,New England Patriots,482,21,3089,473,15,1793,6
2000,16322,13667,634,412,5317,3039,Baltimore Ravens,504,20,5815,511,9,2199,14
1999,16760,13548,665,363,5344,2893,St.Louis Rams,530,42,4353,431,13,2059,1